Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17
NAME,X,Y,LABELS,tumor,cell.type,treatment,OE.B.cell,OE.CAF,OE.Endo.,OE.Macrophage,OE.NK,OE.T.CD4,OE.T.CD8,OE.T.cell,no.genes,log.no.reads
TYPE,numeric,numeric,group,group,group,group,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
CY89A_CD45_POS_10_G12_S276_comb,  0.393366196, -0.231372180,Mel89,Mel89,T.cell,TN,-0.1719952277,-1.273407e-02, 2.042803e-02,-2.056274e-01,-2.851953e-01, 0.9437843114, 0.1595535022, 0.5237812467, 3118,11.441902
cy94_cd45pos_4_D05_S41_comb,-13.725310406,-10.289859077,Mel94,Mel94,T.cell,ICR,-0.1785086721,-3.448241e-02,-4.340286e-02,-2.414151e-01,-6.648005e-02, 0.3545574580, 0.3261353378, 0.7691942104, 3882,12.095135
cy79_p4_CD45_pos_PD1_pos_A09_S297_comb, -6.771927634,  5.281204625,Mel79,Mel79,T.CD8,TN,-0.2411253904,-7.396544e-03, 7.085566e-02,-2.930439e-01,-4.860491e-01, 0.6465961925, 0.9356770611, 0.8965197170, 3047,11.562791
Cy72_CD45_C01_S697_comb,-12.164563277,-21.040666711,Mel72,Mel72,T.cell,ICR,-0.0095584465, 6.949585e-02,-2.352923e-02,-3.304929e-02, 2.222916e-01, 0.1634729562,-0.0030144107, 0.0192449698, 2882,12.218446
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_G09_S561_comb, -1.309212985,-22.309675691,Mel79,Mel79,T.cell,TN,-0.1361051863, 5.941214e-04, 6.320842e-02,-2.902418e-01,-4.244235e-01, 0.8590179057,-0.3741205935, 0.2261132705, 2638,10.212809
cy60_1_cd_45_pos_3_H11_S383_comb, 16.579132079,  4.282253360,Mel60,Mel60,T.CD4,ICR,-0.5771426903,-1.085316e-01,-1.300245e-01,-2.091322e-01,-4.536684e-01, 0.5330761364,-0.1566451900, 0.3272331612, 3865,11.612191
Cy71_CD45_D07_S523_comb, -7.817478995, 34.287736021,Mel71,Mel71,T.CD8,TN,-0.8957835741,-9.761572e-02,-1.097725e-01,-3.032829e-01, 1.813000e-01,-0.7224416755, 0.5313742912,-0.0894269960, 3687,11.601568
cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_C08_S416_comb,  0.352108046,  0.344630110,Mel79,Mel79,T.CD4,TN,-0.2099767269, 3.735175e-02, 6.870825e-02,-1.291541e-01,-3.338920e-01, 0.7848059606, 0.5962157826, 0.4835345894, 2565,10.862512
CY94CD45POS_1_D11_S143_comb, -5.549542629,-20.893860423,Mel94,Mel94,T.cell,ICR, 0.0056890662,-2.059456e-03,-7.365453e-02,-2.293320e-01,-4.003381e-01, 1.0621921553,-0.0610989288, 0.2889934819, 2787,11.108575
cy60_1_cd_45_pos_3_A05_S293_comb,-14.922503663,-11.607987051,Mel60,Mel60,T.cell,ICR,-0.1758334820, 9.535485e-03, 6.190331e-02,-2.270102e-01, 7.241766e-01, 0.4751956258,-0.4768444153, 0.2323196502, 2777,10.729284
cy74_CD45_pos_D09_S717_comb, -5.307728922, 32.251907088,Mel74,Mel74,T.CD8,ICR,-0.7082178681,-6.088085e-02,-5.896933e-02,-2.071076e-01, 2.942021e-01,-0.3209294842, 1.9287762192, 0.7681729010, 3640,11.034390
Cy74_CD45_D04_S424_comb,-19.740095782,  6.659569243,Mel74,Mel74,T.cell,ICR,-0.2306089479, 1.378218e-02,-9.503261e-03,-2.152206e-01, 4.133775e-01, 0.2670408651, 0.1452611833, 0.5558865411, 2094,10.951298
cy88_cd_45_pos_G03_S459_comb, -1.674863745,-19.235903723,Mel88,Mel88,T.CD4,ICR,-0.3271433040,-2.399921e-02,-3.050623e-02,-2.416698e-01,-1.867346e-01, 1.6014725217,-0.7060562091, 0.5839368023, 2241,10.176563
CY89COREQ1_E09_S345_comb,-19.760599724, 17.134518951,Mel89,Mel89,T.CD8,TN,-0.5696790712,-9.093959e-02,-6.687947e-02,-2.643214e-01, 1.759852e-01, 0.0181188102, 1.5459276097, 1.1271087340, 3761,11.620425
CY89COREQ1_B07_S307_comb, 34.795523903,  0.960000180,Mel89,Mel89,T.CD8,TN,-0.2699038826, 4.076085e-01,-7.288545e-02,-5.418320e-02, 9.291598e-01,-0.0349971552, 1.3988393906, 0.7208106707, 2889,10.835081
cy80_CD45_neg_H12_S480_comb, 18.859146516, 14.948335780,Mel80,Mel80,Macrophage,TN,-0.6702823892,-2.546491e-01,-2.035848e-01, 2.654695e-01, 9.006999e-01, 0.1423755394, 0.3983334575, 0.3919719884, 8328,10.841364
CY75_1FNA_E07_S535_comb,  4.748450350, -4.511723903,Mel75,Mel75,T.CD4,ICR,-0.2325819673,-1.065870e-01,-2.666953e-02,-3.363784e-01,-3.746364e-01, 1.7037538267,-0.1372002671, 0.7016676157, 4271,11.961961
CY89A_CD45_POS_6_A07_S103_comb,  3.709595052,  2.768257062,Mel89,Mel89,T.CD4,TN, 0.0389898155,-7.924751e-02,-2.499162e-02,-1.034338e-01,-3.821711e-01, 0.6665343755, 0.8539810481, 0.4533801141, 2867,10.622473
cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_H01_S277_comb, -6.441629439, 11.419414552,Mel79,Mel79,T.CD8,TN,-0.4261395922,-6.390193e-02,-3.557631e-02,-1.897357e-01,-6.651292e-01,-0.5813252205, 0.1181605098,-0.0739977197, 3670,10.081215
cy72_CD45_pos_D03_S903_comb,  0.468736184,-12.270430921,Mel72,Mel72,T.CD8,ICR,-0.0982450071,-1.421362e-02,-7.644099e-02,-2.747080e-01,-9.157469e-02, 0.2262407006,-0.1024896478, 0.0499957652, 3331,11.199269
Cy74_CD45_C11_S419_comb,-19.344070129,  3.599688452,Mel74,Mel74,T.CD8,ICR,-0.1915623547, 6.393000e-02,-1.817455e-02,-1.164433e-01, 2.945837e-01, 0.0008195837, 0.6948936899, 0.6682444102, 2613,11.428086
cy79_p4_CD45_pos_PD1_pos_B03_S303_comb,-12.435781418, 11.725834729,Mel79,Mel79,T.CD8,TN,-0.3110454867, 4.108898e-02, 5.952887e-02,-8.400540e-02, 2.751279e-01, 0.1091597075, 0.4745531548, 0.2133112208, 2965,11.962452
CY88CD45_150813_D04_S328_comb,  2.664120931, 12.166122558,Mel88,Mel88,T.cell,ICR,-0.2077587880, 1.452187e-01, 5.800850e-03,-6.928873e-02,-3.659726e-01,-0.3364365430,-0.2739290913,-0.5483351362, 3435,12.272918
CY89A_CD45_POS_10_A04_S196_comb, -9.433736647, 13.873096369,Mel89,Mel89,T.CD8,TN,-0.1581568332,-6.323638e-02,-7.056744e-02,-1.538908e-01, 8.115722e-01,-0.2603657406, 1.0175289597, 0.7039870149, 3945,12.016726
cy60_1_cd_45_pos_4_D03_S39_comb,-10.668366771, -1.464527029,Mel60,Mel60,T.CD4,ICR,-0.2288753159, 3.569712e-02, 1.805886e-02,-1.844480e-01, 1.503701e-01, 0.3438463289, 0.1334402888, 1.0449700753, 2550,10.331920
cy58_1_CD45_pos_D10_S622_comb,-21.277049629,  5.969070155,Mel58,Mel58,T.CD8,ICR,-0.2462186627,-2.933928e-02,-4.329735e-02,-7.834864e-02, 1.834016e-02,-0.1701230602, 1.8222584692, 0.9852390476, 2199, 9.525954
