Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14
NAME,X,Y,LABELS,tumor,treatment,Immune_resistance,Immune_resistance.up,Immune_resistance.down,OE.Immune_resistance,OE.Immune_resistance.up,OE.Immune_resistance.down,no.genes,log.no.reads
TYPE,numeric,numeric,group,group,group,group,group,group,numeric,numeric,numeric,numeric,numeric
CY89COREQ1_A09_S297_comb,-50.11526602,  4.45966564,Mel89,Mel89,TN,low,low,high,-0.103279908,-0.007575795, 0.0957041135, 8032,13.338787
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_A09_S297_comb, 22.23745316, 12.17975917,Mel79,Mel79,TN,low,low,high,-3.051784498,-1.166605865, 1.8851786335, 4973,11.273780
Cy71_CD45_E09_S537_comb,-43.74800412,-21.54994120,Mel71,Mel71,TN,high,high,low, 1.926396989, 0.823247377,-1.1031496123, 6022,11.581453
cy81_FNA_CD45_neg_C06_S990_comb, -1.11006231,-51.96899170,Mel81,Mel81,TN,low,low,high,-0.141071785,-0.198825955,-0.0577541697, 7725,12.290915
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_H03_S183_comb, 16.01836438,  7.93486108,Mel79,Mel79,TN,low,low,high,-2.943817134,-0.987974585, 1.9558425492, 5533,11.326993
cy81_FNA_CD45_neg_H03_S1047_comb, -0.05294454,-46.49140839,Mel81,Mel81,TN,high,high,low, 0.577259658, 0.279711446,-0.2975482120, 2377, 8.736650
Cy81_FNA_CD45_C07_S319_comb, -4.74079611,-51.68918267,Mel81,Mel81,TN,low,low,low, 0.104879190,-0.027943783,-0.1328229736, 7296,12.337219
cy78_CD45_neg_1_C04_S508_comb,-31.52908331, 40.34485423,Mel78,Mel78,ICR,low,low,low, 0.153311019,-0.030855345,-0.1841663633, 5768,11.569740
Cy80_II_CD45_B10_S886_comb, 31.51415938,-44.11378018,Mel80,Mel80,TN,low,high,high, 0.099685764, 0.039229672,-0.0604560918, 5574,11.956592
cy78_CD45_neg_3_A04_S676_comb,-37.04905722, 32.44637930,Mel78,Mel78,ICR,high,low,low, 0.409776384,-0.007502797,-0.4172791809, 7334,12.549652
Cy71_CD45_G12_S564_comb,-42.84008011,-20.56748203,Mel71,Mel71,TN,high,low,low, 0.347392407,-0.172859472,-0.5202518788, 3871,11.338524
cy78_CD45_neg_3_G12_S756_comb,-31.73069049, 33.64371457,Mel78,Mel78,ICR,high,low,low, 0.347600829,-0.035877804,-0.3834786331, 6766,13.098507
CY88_5_F10_S742_comb,  8.59428670, 43.57299611,Mel88,Mel88,ICR,low,low,high,-0.277830663,-0.124936964, 0.1528936997, 4708,11.636275
cy79_p5_CD45_neg_PDL1_neg_G01_S841_comb, 16.88999616,-11.91053052,Mel79,Mel79,TN,low,low,high,-1.054181290,-0.485790048, 0.5683912423, 2823,12.132830
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_H05_S185_comb, 38.24781395, -2.22350667,Mel79,Mel79,TN,low,low,high,-2.895272795,-1.029892466, 1.8653803283, 3178, 9.809012
cy79_p5_CD45_neg_PDL1_pos_B05_S689_comb, 35.46673829,  5.18433869,Mel79,Mel79,TN,low,low,high,-2.411548958,-1.152753458, 1.2587954998, 2768, 9.681905
CY88_5_B09_S693_comb,  3.03397372, 46.04447197,Mel88,Mel88,ICR,high,high,low, 0.454807506, 0.172195128,-0.2826123786, 7309,12.870473
cy78_CD45_neg_3_E04_S724_comb,-36.77012757, 29.70075155,Mel78,Mel78,ICR,high,high,low, 1.017670696, 0.392535097,-0.6251355986, 7590,12.289200
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_F01_S61_comb, 14.32719750, 10.20602752,Mel79,Mel79,TN,low,low,high,-2.816625140,-1.302993362, 1.5136317780, 5627,11.465823
cy79_p5_CD45_neg_PDL1_pos_C07_S703_comb, 35.84314996, -2.46596599,Mel79,Mel79,TN,low,low,high,-2.276025419,-1.008167793, 1.2678576259, 5216,11.202070
cy79_p4_CD45_neg_PDL1_pos_C01_S409_comb, 28.15418128, 12.50996185,Mel79,Mel79,TN,low,low,high,-2.625183784,-0.940017355, 1.6851664290, 4302,12.567143
CY89FNAQ2_A09_S393_comb,-49.15954346,  3.53618789,Mel89,Mel89,TN,low,low,high,-0.503013989,-0.374829222, 0.1281847671, 8751,12.179836
CY88_3_G06_S654_comb,  7.28184450, 45.51601161,Mel88,Mel88,ICR,high,high,low, 0.555732004, 0.368950763,-0.1867812413, 6229,12.726232
cy78_CD45_neg_3_H09_S765_comb,-39.87546967, 34.01322858,Mel78,Mel78,ICR,low,low,low, 0.039557887,-0.238721043,-0.2782789297, 7533,12.415811
cy79_p4_CD45_neg_PDL1_pos_D10_S430_comb, 28.92446713,  1.41641420,Mel79,Mel79,TN,low,low,high,-2.816117986,-1.138908506, 1.6772094804, 4906,11.964816
