Column1,Column2,Column3,Column1,Column2,Column3,,,
NAME,X,Y,NAME,CLUSTER,SUB-CLUSTER,,,
TYPE,numeric,numeric,TYPE,group,group,,,
Cy74_CD45_D01_S421_comb,-51.81062042,39.63956346,Cy72_CD45_B02_S686_comb,T,T,cy78-CD45-neg-1-H12-S576-comb,undefined,undefined
Cy74_CD45_B08_S404_comb,51.68091647,-70.14469045,CY58_1_CD45_B09_S981_comb,T,T,cy84-Met-CD45-pos-F04-S928-comb,T,T
Cy72_CD45_B07_S691_comb,-8.918611401,52.35772235,Cy71_CD45_H07_S571_comb,undefined,undefined,cy80-CD45-neg-C01-S409-comb,T,T
Cy81_FNA_CD45_A03_S195_comb,-36.04509507,41.91614548,Cy74_CD45_E04_S436_comb,T,T,cy84-Met-CD45-pos-A01-S865-comb,Macrophage,Macrophage
Cy81_FNA_CD45_G02_S266_comb,-34.5629811,47.07562415,Cy81_FNA_CD45_A02_S194_comb,T,T,cy80-CD45-neg-B04-S400-comb,B,B
Cy81_FNA_CD45_D11_S239_comb,-30.98011431,44.55671135,Cy81_FNA_CD45_H12_S288_comb,T,T,cy80-CD45-neg-F07-S451-comb,T,T
CY58_1_CD45_F10_S1030_comb,-37.3972737,45.72818249,Cy81_FNA_CD45_A06_S198_comb,T,T,cy80-CD45-neg-D11-S431-comb,T,T
Cy81_FNA_CD45_C06_S222_comb,-12.06746133,64.44321439,Cy74_CD45_F01_S445_comb,T,T,cy84-Primary-CD45-neg-A12-S972-comb,Endothelial,Endothelial
Cy72_CD45_B06_S690_comb,-8.10118548,65.81504554,Cy72_CD45_E06_S726_comb,undefined,undefined,cy84-Met-CD45-pos-C07-S895-comb,T,T
Cy72_CD45_G09_S753_comb,54.89738576,-65.19513309,Cy72_CD45_E11_S731_comb,undefined,undefined,cy78-CD45-neg-2-A08-S584-comb,B,B
Cy74_CD45_B03_S399_comb,-17.10162299,40.86471407,Cy74_CD45_D01_S421_comb,T,T,cy80-CD45-neg-D09-S429-comb,T,T
Cy74_CD45_F08_S452_comb,-50.26164716,42.23872624,Cy74_CD45_B08_S404_comb,B,B,cy84-Met-CD45-pos-G07-S943-comb,T,T
Cy72_CD45_D01_S709_comb,-9.37561546,63.40201281,Cy72_CD45_B07_S691_comb,T,T,cy78-CD45-neg-2-B07-S595-comb,undefined,undefined
Cy74_CD45_H08_S476_comb,74.03804891,-13.65554545,Cy81_FNA_CD45_A03_S195_comb,T,T,cy84-Met-CD45-pos-H04-S952-comb,undefined,undefined
Cy74_CD45_G01_S457_comb,-8.29232026,33.90241059,Cy81_FNA_CD45_G02_S266_comb,T,T,cy80-CD45-neg-A03-S387-comb,T,T
Cy74_CD45_F02_S446_comb,-46.1529012,43.1006893,Cy81_FNA_CD45_D11_S239_comb,T,T,cy84-Met-CD45-pos-G09-S945-comb,T,T
Cy81_FNA_CD45_B08_S212_comb,-3.293279503,62.89707529,CY58_1_CD45_F10_S1030_comb,T,T,cy80-CD45-neg-F08-S452-comb,undefined,undefined
Cy74_CD45_C03_S411_comb,53.12701956,-58.84899907,Cy81_FNA_CD45_C06_S222_comb,T,T,cy80-CD45-neg-F11-S455-comb,undefined,undefined
Cy74_CD45_H06_S474_comb,-51.60577878,-25.63933548,Cy72_CD45_B06_S690_comb,T,T,cy84-Met-CD45-pos-D06-S906-comb,undefined,undefined
Cy72_CD45_H06_S762_comb,-2.407289061,59.30128257,Cy72_CD45_G09_S753_comb,undefined,undefined,cy84-Met-CD45-pos-A04-S868-comb,T,T
Cy81_Bulk_CD45_D05_S137_comb,59.76097386,5.042564987,Cy74_CD45_B03_S399_comb,T,T,cy84-Met-CD45-pos-A11-S875-comb,T,T
Cy72_CD45_A05_S677_comb,56.70393477,-64.73305857,Cy74_CD45_F08_S452_comb,T,T,cy80-CD45-neg-G07-S463-comb,T,T
Cy72_CD45_G01_S745_comb,-39.29604711,48.17179495,Cy72_CD45_D01_S709_comb,T,T,cy80-CD45-neg-H11-S479-comb,T,T
Cy74_CD45_H12_S480_comb,-6.381581013,-29.56552846,Cy74_CD45_H08_S476_comb,Macrophage,Macrophage,cy80-CD45-neg-B08-S404-comb,T,T
CY58_1_CD45_G11_S1043_comb,-48.49240544,35.59988181,Cy74_CD45_G01_S457_comb,T,T,cy84-Met-CD45-pos-H05-S953-comb,B,B
